movie_title,사극,SF,어드벤처,액션,범죄,판타지,가족,미스터리,스릴러,뮤지컬,코미디,공포(호러),애니메이션,드라마,서부극(웨스턴),전쟁,멜로/로맨스,기타,다큐멘터리,공연,성인물(에로),director_power,actor_power,1주차스크린점유율,2주동안의 경쟁영화수,1주차실관람객평균평점,누적_매출액,nationality_한국영화,watch_grade_15세이상관람가,watch_grade_전체관람가,watch_grade_청소년관람불가
내 사랑,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.91570849230199,0.04139999999999999,4.584967478670572,2.298339398073268,21.091806554027695,0.0,0.0,0.0,0.0
내안의 그놈,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.580075813106003,0.129,4.812184355372417,2.3100903885295585,23.423809384022324,1.0,1.0,0.0,0.0
너의 결혼식,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.7185747433999237,16.26628230298981,0.14040000000000002,4.787491742782046,2.3158234942536677,23.6009404896302,1.0,0.0,0.0,0.0
너의 췌장을 먹고 싶어,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.107128926677345,0.0382,4.7535901911063645,2.283532953254417,21.787087247916,0.0,0.0,0.0,0.0
널 기다리며,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.09910693315606,0.09925,4.48863636973214,2.2204381919241998,22.315696480798113,1.0,0.0,0.0,1.0
넛잡 2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.26441138243805,0.07583333333333334,4.465908118654584,2.2785364619305524,21.701747361574302,1.0,0.0,1.0,0.0
노무현입니다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.7408291227204,0.0,0.131,4.875197323201151,2.372715627833234,23.137995835660373,1.0,0.0,0.0,0.0
눈길,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.312027080299696,0.0742,4.61512051684126,2.316190181532098,20.627294659831488,1.0,1.0,0.0,0.0
닌자터틀 : 어둠의 히어로,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.307378164960737,16.024493302319794,0.09925,4.356708826689592,2.1809230488713625,21.36840537261384,0.0,0.0,0.0,0.0
다운사이징,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.50370862022463,0.082,4.74493212836325,1.984873675017925,20.927708821552528,0.0,1.0,0.0,0.0
